frame,track_id,x,y,w,h,score,misses
43,768,73,88,12,12,16.474233370830433,0
45,768,74,89,12,12,20.017482859597507,0
46,768,75,89,12,12,15.975900133058616,1
47,768,74,88,12,12,16.381893350849023,0
48,768,75,89,12,12,21.100990470338516,0
49,768,79,92,3,3,18.581102798535042,0
50,768,73,89,12,12,23.420426102254066,0
51,768,79,91,3,4,19.929495436179206,0
52,768,74,89,12,12,18.911319837996807,0
53,768,76,88,12,12,21.071995028433967,0
54,768,77,90,6,5,18.51051064286606,0
55,768,78,88,7,7,22.757295378945688,0
56,768,77,90,6,4,20.177581019094113,0
57,768,76,83,12,12,18.82009583458362,0
58,768,76,83,12,12,21.581172018516128,0
59,768,77,90,7,4,18.007275044380126,0
60,768,78,90,7,4,19.951635895499244,0
61,768,78,90,7,4,19.11400559416917,0
62,768,81,90,3,3,18.209683872011798,0
63,768,80,86,7,7,20.614217529262675,0
64,768,82,89,3,4,19.167185365576223,0
65,768,82,89,3,3,20.611659801789585,0
66,768,82,89,3,3,20.740669809600707,0
67,768,83,89,3,3,19.641901573527417,0
68,768,83,88,3,4,22.711599103351165,0
69,768,83,88,3,4,22.436702727736627,0
70,768,79,82,12,12,23.403352213225983,0
71,768,83,88,3,3,22.586733575473293,0
72,768,84,88,3,3,22.147058704059486,0
73,768,80,82,12,12,23.698387130785598,0
74,768,84,87,3,4,22.926773952893363,0
75,768,84,87,3,3,23.56463897216295,0
76,768,84,87,3,3,22.879859877877966,0
77,768,84,87,3,3,22.467068497166537,0
78,768,84,87,3,3,22.717520853344354,0
79,768,84,87,3,3,21.773714048687353,0
80,768,85,88,3,3,22.55921583054193,0
81,768,85,88,3,3,21.952754631085703,0
82,768,79,80,12,12,19.053663773662738,0
192,4504,86,77,6,7,16.665874774618104,0
195,4504,87,77,6,7,20.656068188041772,0
196,4504,87,77,6,7,20.015886134061923,0
197,4504,87,78,6,6,24.72332317251978,0
200,4504,84,76,3,3,20.924462109336616,0
217,4504,88,78,7,7,17.376843249994593,0
218,4504,87,78,6,7,16.915951435313133,0
219,4504,87,79,6,7,18.264261944357983,0
220,4504,87,80,6,7,20.153813281753084,0
221,4504,87,80,6,7,20.62607513761473,0
222,4504,88,80,7,7,23.68120970398525,0
223,4504,87,80,5,7,22.098329047149313,0
224,4504,84,82,5,5,25.603426243850343,0
225,4504,83,82,5,5,23.075741351280186,1
226,4504,86,81,6,7,19.388060225918878,0
240,4504,82,88,5,5,22.815132936597944,0
